epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,556.738,0.69798,0.77893,1.0348,0.9722,0.83159,0.94817,0.78826,0.73466,0.97915,1.04057,0.00114606,0.00114606,0.00114606
12,592.084,0.67278,0.73249,1.03056,0.92322,0.84596,0.94766,0.78396,0.78517,0.99694,1.07344,0.00111776,0.00111776,0.00111776
13,635.189,0.68362,0.71239,1.02631,0.92762,0.8548,0.94796,0.79168,0.82122,0.77756,1.0661,0.00108947,0.00108947,0.00108947
14,674.224,0.70663,0.69981,1.03487,0.98562,0.90547,0.94122,0.79059,0.75856,0.74316,1.03509,0.00106118,0.00106118,0.00106118
15,710.069,0.68912,0.70466,1.04533,0.90307,0.92455,0.95908,0.80947,0.72336,0.7075,0.98233,0.00103288,0.00103288,0.00103288
16,741.635,0.65919,0.66685,1.01772,0.89474,0.97826,0.9787,0.76797,0.74527,0.73908,1.10885,0.00100459,0.00100459,0.00100459
17,779.984,0.64486,0.66151,1.01904,0.95623,0.83328,0.92491,0.7972,0.64605,0.89259,0.99146,0.000976293,0.000976293,0.000976293
18,821.189,0.61347,0.63352,0.99482,0.95622,0.88672,0.97416,0.84948,0.6115,0.58147,0.94886,0.000947999,0.000947999,0.000947999
19,857.214,0.61953,0.62383,1.00415,0.96584,0.94565,0.98729,0.80839,0.78839,0.8121,1.03082,0.000919704,0.000919704,0.000919704
20,898.74,0.61448,0.60537,0.99943,0.90125,0.7589,0.9215,0.75579,0.72599,0.90197,1.03919,0.00089141,0.00089141,0.00089141
21,954.587,0.57963,0.56287,0.99053,0.89719,0.65835,0.79675,0.66569,0.78691,0.83943,1.03357,0.000863116,0.000863116,0.000863116
22,993.329,0.61629,0.60208,1.00496,0.97807,0.91627,0.98646,0.83561,0.64022,0.54691,0.95472,0.000834822,0.000834822,0.000834822
